epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.9647,1.31127,3.26005,1.5664,0.67146,0.25898,0.28792,0.15187,1.53951,3.64043,2.05299,0.000368129,0.000368129,0.000368129
2,129.861,1.4301,2.55314,1.65462,0.28488,0.39753,0.25169,0.11549,1.87507,4.63356,2.30828,0.000738282,0.000738282,0.000738282
3,192.586,1.50641,2.47406,1.72301,0.47363,0.29624,0.26988,0.11836,1.84351,3.30205,2.36558,0.00110771,0.00110771,0.00110771
4,255.078,1.51592,2.34221,1.73321,0.33282,0.48647,0.40084,0.18445,1.63391,2.65994,2.07254,0.00110856,0.00110856,0.00110856
5,331.106,1.47562,2.21709,1.70384,0.35392,0.4458,0.37895,0.19642,1.61569,2.66236,2.02199,0.00110666,0.00110666,0.00110666
6,409.176,1.45288,2.10855,1.69198,0.51387,0.4329,0.45009,0.25112,1.49777,2.16344,1.88677,0.00110423,0.00110423,0.00110423
7,490.172,1.37791,1.97145,1.62581,0.50757,0.48025,0.51155,0.29179,1.48092,2.10004,1.92386,0.00110126,0.00110126,0.00110126
8,571.09,1.39943,1.93153,1.64388,0.71493,0.38352,0.52755,0.29866,1.49453,2.02353,1.88781,0.00109776,0.00109776,0.00109776
9,652.835,1.37259,1.87387,1.62865,0.48438,0.51454,0.49461,0.30045,1.37343,1.91873,1.78509,0.00109372,0.00109372,0.00109372
10,734.421,1.37533,1.85845,1.62686,0.4505,0.56414,0.56706,0.34514,1.38534,1.74643,1.84301,0.00108916,0.00108916,0.00108916
11,811.04,1.3616,1.74267,1.59172,0.52084,0.54803,0.57811,0.35853,1.3716,1.68038,1.75431,0.00108408,0.00108408,0.00108408
12,892.119,1.30568,1.69742,1.5545,0.60227,0.57505,0.59628,0.36288,1.28762,1.52078,1.71529,0.00107849,0.00107849,0.00107849
13,973.443,1.30898,1.68705,1.55943,0.65983,0.49567,0.56031,0.34234,1.34837,1.83896,1.76715,0.00107238,0.00107238,0.00107238
14,1054.43,1.28408,1.63326,1.53889,0.49784,0.57158,0.56585,0.33458,1.4411,1.74135,1.83879,0.00106577,0.00106577,0.00106577
15,1134.1,1.30846,1.63949,1.56386,0.53093,0.56021,0.58203,0.36166,1.31772,1.56245,1.71779,0.00105866,0.00105866,0.00105866
16,1213.61,1.23495,1.56977,1.50814,0.55467,0.64091,0.63585,0.42347,1.22712,1.40678,1.64783,0.00105106,0.00105106,0.00105106
17,1293.37,1.22599,1.53449,1.50044,0.58285,0.61434,0.62778,0.39583,1.29974,1.56314,1.71347,0.00104298,0.00104298,0.00104298
18,1373.35,1.24409,1.54248,1.52428,0.58674,0.62587,0.6402,0.39019,1.28483,1.50014,1.70509,0.00103442,0.00103442,0.00103442
19,1453.08,1.23059,1.52647,1.50841,0.65307,0.60379,0.64811,0.42068,1.25629,1.42274,1.66295,0.00102539,0.00102539,0.00102539
20,1532.64,1.20881,1.47533,1.48177,0.6681,0.60828,0.65556,0.42251,1.22311,1.38717,1.6016,0.0010159,0.0010159,0.0010159
21,1613.29,1.21276,1.47859,1.48064,0.61399,0.65535,0.66819,0.43937,1.19501,1.28508,1.59287,0.00100597,0.00100597,0.00100597
22,1689.97,1.17812,1.41011,1.4634,0.61957,0.64963,0.66476,0.43988,1.17634,1.32537,1.57049,0.000995597,0.000995597,0.000995597
23,1757.84,1.19632,1.4473,1.47373,0.66975,0.63072,0.65793,0.42844,1.21493,1.24957,1.61149,0.000984795,0.000984795,0.000984795
24,1838.67,1.18251,1.38393,1.46915,0.60865,0.61483,0.63529,0.41468,1.24975,1.35647,1.6279,0.000973575,0.000973575,0.000973575
25,1921.09,1.16803,1.37104,1.44592,0.62583,0.60229,0.66062,0.43227,1.19866,1.22585,1.59853,0.000961948,0.000961948,0.000961948
26,2003.55,1.16314,1.38033,1.45365,0.5815,0.63993,0.65306,0.42342,1.21172,1.3237,1.65138,0.000949925,0.000949925,0.000949925
27,2086.41,1.14323,1.33997,1.43049,0.68535,0.63068,0.67541,0.44964,1.15067,1.28643,1.54226,0.000937518,0.000937518,0.000937518
28,2169.09,1.12832,1.27286,1.42444,0.65747,0.65739,0.68246,0.4651,1.13649,1.24828,1.52546,0.00092474,0.00092474,0.00092474
29,2251.83,1.16131,1.31916,1.43912,0.60412,0.65184,0.68312,0.46125,1.15723,1.19098,1.53757,0.000911603,0.000911603,0.000911603
30,2333.99,1.14612,1.26924,1.429,0.66291,0.67469,0.69857,0.45445,1.19238,1.19373,1.58011,0.00089812,0.00089812,0.00089812
31,2415.94,1.12824,1.26764,1.4179,0.71382,0.6596,0.70277,0.47548,1.14499,1.18346,1.54341,0.000884305,0.000884305,0.000884305
32,2497.87,1.13566,1.27048,1.42255,0.70109,0.65239,0.70794,0.46072,1.17018,1.16371,1.55005,0.00087017,0.00087017,0.00087017
33,2580.53,1.09221,1.26586,1.38451,0.65089,0.65917,0.68699,0.47154,1.13224,1.17636,1.52321,0.00085573,0.00085573,0.00085573
34,2662.49,1.11101,1.23091,1.39149,0.66473,0.64244,0.69366,0.47026,1.14129,1.18769,1.55958,0.000841,0.000841,0.000841
35,2744.58,1.11103,1.23147,1.39404,0.6526,0.66754,0.70416,0.46725,1.15744,1.15894,1.52387,0.000825993,0.000825993,0.000825993
36,2826.25,1.13174,1.21702,1.40834,0.66284,0.64339,0.69289,0.46027,1.16943,1.17168,1.59723,0.000810725,0.000810725,0.000810725
37,2906.32,1.05864,1.17429,1.36071,0.6577,0.67907,0.72096,0.48721,1.14325,1.11295,1.54713,0.00079521,0.00079521,0.00079521
38,2986.38,1.07966,1.1633,1.36424,0.66124,0.63947,0.70047,0.47462,1.14005,1.12456,1.54495,0.000779464,0.000779464,0.000779464
39,3067.28,1.0497,1.12817,1.34627,0.68824,0.6809,0.72189,0.48555,1.14154,1.06732,1.51342,0.000763503,0.000763503,0.000763503
40,3146.87,1.05155,1.13969,1.3565,0.74911,0.6624,0.72494,0.48993,1.16953,1.08258,1.55037,0.000747342,0.000747342,0.000747342
41,3228.01,1.04188,1.13428,1.35309,0.70492,0.67856,0.7252,0.49892,1.11629,1.05267,1.50679,0.000730997,0.000730997,0.000730997
42,3302.75,1.04753,1.1094,1.34695,0.70939,0.6539,0.70261,0.49223,1.11883,1.0855,1.494,0.000714485,0.000714485,0.000714485
43,3376.26,1.00034,1.05848,1.3199,0.70385,0.67361,0.72395,0.50015,1.15923,1.05601,1.53736,0.000697821,0.000697821,0.000697821
44,3450.97,1.01608,1.05104,1.32607,0.70192,0.70055,0.7251,0.51257,1.07452,0.9777,1.46394,0.000681022,0.000681022,0.000681022
45,3534.11,1.03052,1.07006,1.33015,0.71675,0.67277,0.71643,0.49013,1.13212,1.03115,1.51344,0.000664104,0.000664104,0.000664104
46,3616.12,1.02496,1.08734,1.33153,0.72682,0.6315,0.69117,0.48527,1.10594,1.07436,1.51205,0.000647085,0.000647085,0.000647085
47,3693.69,1.00819,1.07221,1.32522,0.7456,0.6369,0.71592,0.48758,1.13322,1.04634,1.51228,0.000629981,0.000629981,0.000629981
48,3766.73,1.00134,1.05364,1.31546,0.70716,0.64551,0.71275,0.49386,1.09779,1.01868,1.48195,0.000612809,0.000612809,0.000612809
49,3833.58,1.00004,1.02494,1.31372,0.70575,0.66538,0.71904,0.50252,1.09973,1.00348,1.46565,0.000595586,0.000595586,0.000595586
50,3897.64,0.98854,1.01474,1.31241,0.69519,0.69956,0.74599,0.51491,1.12392,0.97386,1.50612,0.000578329,0.000578329,0.000578329
51,3961.07,0.98517,1.00729,1.3029,0.72235,0.6817,0.74087,0.50689,1.10666,0.96757,1.48423,0.000561055,0.000561055,0.000561055
52,4024.86,0.98241,0.99921,1.29819,0.70865,0.70513,0.74757,0.52662,1.04853,0.97564,1.43193,0.000543781,0.000543781,0.000543781
53,4087.68,0.95847,0.96184,1.28438,0.76697,0.66189,0.7382,0.51492,1.03065,0.96541,1.42601,0.000526524,0.000526524,0.000526524
54,4150.13,0.95745,0.96433,1.29351,0.79103,0.69182,0.7505,0.53446,1.0558,0.90415,1.4516,0.000509301,0.000509301,0.000509301
