epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,299.337,1.16176,2.5819,1.5009,0.50378,0.51721,0.52725,0.31823,1.43639,2.67655,1.87146,0.000369728,0.000369728,0.000369728
2,602.412,1.25575,2.01948,1.56922,0.70269,0.36758,0.44451,0.25206,1.61905,2.80567,2.09764,0.000739881,0.000739881,0.000739881
3,866.463,1.27523,1.90908,1.58714,0.52636,0.53336,0.52775,0.30864,1.46816,1.94982,1.90577,0.00110931,0.00110931,0.00110931
4,1114.09,1.23837,1.79715,1.56169,0.56892,0.58144,0.6003,0.37757,1.33986,1.74485,1.76077,0.00110856,0.00110856,0.00110856
5,1359.54,1.20369,1.67813,1.54232,0.55251,0.64146,0.64432,0.41375,1.31265,1.5682,1.72976,0.00110666,0.00110666,0.00110666
6,1603.18,1.16066,1.57489,1.50175,0.66326,0.66325,0.69649,0.4564,1.27536,1.36777,1.68924,0.00110423,0.00110423,0.00110423
7,1944.85,1.15599,1.51625,1.49366,0.70606,0.6216,0.70796,0.4552,1.25068,1.43661,1.66253,0.00110126,0.00110126,0.00110126
8,2290.56,1.12132,1.43057,1.463,0.72846,0.67671,0.7286,0.48173,1.20836,1.29285,1.59659,0.00109776,0.00109776,0.00109776
9,2613.03,1.08033,1.40036,1.42784,0.77519,0.73831,0.79238,0.54277,1.10973,1.11663,1.50019,0.00109372,0.00109372,0.00109372
10,2932.2,1.06589,1.36835,1.42545,0.72126,0.67623,0.7316,0.4948,1.15863,1.25202,1.55893,0.00108916,0.00108916,0.00108916
11,3253.09,1.0549,1.30244,1.41237,0.74476,0.72392,0.7739,0.53015,1.12264,1.15083,1.52444,0.00108408,0.00108408,0.00108408
12,3596.91,1.03873,1.25963,1.39911,0.70264,0.73239,0.76487,0.52824,1.10325,1.16451,1.51002,0.00107849,0.00107849,0.00107849
13,3919.94,1.01843,1.24716,1.38673,0.71442,0.7367,0.78888,0.54607,1.11045,1.10288,1.51283,0.00107238,0.00107238,0.00107238
14,4239.89,1.01287,1.20641,1.38474,0.7488,0.7638,0.81606,0.56117,1.08836,1.04484,1.48131,0.00106577,0.00106577,0.00106577
15,4580.53,1.01664,1.19393,1.38275,0.75344,0.75677,0.80361,0.5686,1.08016,1.05966,1.47644,0.00105866,0.00105866,0.00105866
16,4928.88,1.0042,1.17302,1.37455,0.78811,0.77549,0.83582,0.59015,1.04594,0.95444,1.42227,0.00105106,0.00105106,0.00105106
17,5171.27,0.98336,1.14259,1.35357,0.7316,0.76147,0.80569,0.56059,1.09977,1.04564,1.4829,0.00104298,0.00104298,0.00104298
18,5405.59,0.97579,1.13362,1.34598,0.78241,0.78126,0.8491,0.59987,1.02723,0.9512,1.41934,0.00103442,0.00103442,0.00103442
19,5640.47,0.96899,1.11381,1.33848,0.79018,0.77656,0.83896,0.59448,1.02543,0.94403,1.42861,0.00102539,0.00102539,0.00102539
20,6059.36,0.94969,1.07846,1.32866,0.81488,0.77861,0.84016,0.59116,1.05911,0.94072,1.44785,0.0010159,0.0010159,0.0010159
21,6875.12,0.96419,1.07983,1.33529,0.82575,0.78589,0.85278,0.61748,1.00952,0.87042,1.40946,0.00100597,0.00100597,0.00100597
22,7138.51,0.94498,1.05237,1.32618,0.8137,0.79073,0.84553,0.61165,1.01395,0.9051,1.41193,0.000995597,0.000995597,0.000995597
23,7378.55,0.93822,1.04256,1.31488,0.8199,0.80614,0.85438,0.62375,0.98452,0.85625,1.39418,0.000984795,0.000984795,0.000984795
24,7616.36,0.93497,1.03569,1.31707,0.81384,0.80207,0.86258,0.62252,0.99418,0.87537,1.38594,0.000973575,0.000973575,0.000973575
25,7854.51,0.9227,1.01492,1.30335,0.79513,0.81199,0.85602,0.62758,0.97057,0.8606,1.37603,0.000961948,0.000961948,0.000961948
26,8092.06,0.92643,0.99922,1.3028,0.83092,0.78096,0.85712,0.62351,0.9752,0.8694,1.37237,0.000949925,0.000949925,0.000949925
27,8329.98,0.92536,1.00906,1.30608,0.87652,0.81369,0.88393,0.64349,0.97794,0.81255,1.3721,0.000937518,0.000937518,0.000937518
28,8574.45,0.91041,0.96944,1.29028,0.83952,0.81246,0.87247,0.64356,0.95954,0.80148,1.35452,0.00092474,0.00092474,0.00092474
29,8815.81,0.90375,0.96999,1.2907,0.83245,0.83491,0.88238,0.65134,0.936,0.79463,1.31708,0.000911603,0.000911603,0.000911603
