exp,lr0,momentum,weight_decay,batch,optimizer,map50,map95,precision,recall
1,0.00867,0.9302,0.000269,8,SGD,0.9122,0.7215,0.8806,0.8606
2,0.0078,0.9118,0.000325,8,AdamW,0.8582,0.6487,0.8112,0.8063
3,0.00226,0.8595,0.000819,8,AdamW,0.9039,0.7011,0.8696,0.8438
4,0.00226,0.8595,0.000819,8,AdamW,0.9039,0.7011,0.8696,0.8438
5,0.00226,0.8595,0.000819,8,AdamW,0.9039,0.7011,0.8696,0.8438
6,0.00226,0.8595,0.000819,8,AdamW,0.9039,0.7011,0.8696,0.8438
7,0.00226,0.8595,0.000819,8,AdamW,0.9039,0.7011,0.8696,0.8438
8,0.00226,0.8595,0.000819,8,AdamW,0.9039,0.7011,0.8696,0.8438
9,0.00226,0.8595,0.000819,8,AdamW,0.9039,0.7011,0.8696,0.8438
10,0.00226,0.8595,0.000819,8,AdamW,0.9039,0.7011,0.8696,0.8438
