epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,403.898,1.55111,2.47662,1.85016,0.7015,0.09539,0.09133,0.03003,2.08877,10.196,2.6942,0.0691084,0.002386,0.002386
2,829.995,1.55776,2.28622,1.85921,0.47522,0.23968,0.24363,0.13347,1.90193,3.21855,2.37922,0.0380075,0.0046184,0.0046184
3,1223.81,1.46261,2.11991,1.77746,0.45563,0.44585,0.42697,0.23355,1.7052,2.21647,2.235,0.00674879,0.00669305,0.00669305
4,1580.92,1.3827,1.94967,1.70474,0.46821,0.45836,0.43591,0.25075,1.54329,2.182,1.97959,0.00646017,0.00646017,0.00646017
5,1941.13,1.31355,1.82111,1.64295,0.53058,0.54362,0.54387,0.30967,1.49091,1.82201,1.92776,0.00622356,0.00622356,0.00622356
6,2300.65,1.25985,1.71914,1.59811,0.60273,0.56359,0.5825,0.36686,1.34417,1.74383,1.7888,0.00598695,0.00598695,0.00598695
7,2666.19,1.22654,1.65819,1.57466,0.55663,0.64216,0.63955,0.41634,1.27948,1.50782,1.6928,0.00575034,0.00575034,0.00575034
8,3017.62,1.20344,1.58906,1.54941,0.63357,0.60733,0.62607,0.3956,1.29165,1.54445,1.71674,0.00551373,0.00551373,0.00551373
9,3408.4,1.17504,1.5298,1.52401,0.54765,0.49574,0.48572,0.24466,1.7392,1.90778,2.35613,0.00527712,0.00527712,0.00527712
10,3767.3,1.15242,1.47189,1.50368,0.63604,0.64985,0.68641,0.44854,1.28081,1.41171,1.67018,0.00504051,0.00504051,0.00504051
11,4103.03,1.12721,1.41602,1.48247,0.69826,0.65328,0.70077,0.45316,1.27747,1.30619,1.67625,0.0048039,0.0048039,0.0048039
12,4438.15,1.11374,1.3902,1.46949,0.62728,0.68004,0.71362,0.48736,1.16505,1.27889,1.55927,0.00456729,0.00456729,0.00456729
13,4798.35,1.09636,1.36336,1.45652,0.67616,0.70498,0.72285,0.47883,1.21541,1.28374,1.61272,0.00433068,0.00433068,0.00433068
14,5383.08,1.07028,1.32272,1.43874,0.71956,0.68931,0.73485,0.50338,1.13976,1.18436,1.53205,0.00409407,0.00409407,0.00409407
15,5856.08,1.06228,1.28298,1.42387,0.71051,0.70311,0.741,0.51789,1.11001,1.10778,1.49731,0.00385746,0.00385746,0.00385746
16,6372.64,1.04349,1.25243,1.41146,0.73567,0.73669,0.77877,0.55256,1.05014,1.05574,1.45115,0.00362085,0.00362085,0.00362085
17,6812.91,1.03202,1.2327,1.40659,0.74296,0.7152,0.76286,0.54155,1.06588,1.08418,1.46124,0.00338424,0.00338424,0.00338424
18,7232.37,1.0232,1.19335,1.39102,0.75223,0.74307,0.7936,0.56636,1.05369,1.0249,1.43831,0.00314763,0.00314763,0.00314763
19,7747.49,0.99716,1.17432,1.37645,0.75912,0.74173,0.79749,0.56637,1.02126,0.99456,1.40917,0.00291102,0.00291102,0.00291102
20,8197.06,0.97922,1.13612,1.36235,0.76039,0.76143,0.79929,0.58107,1.00298,0.97317,1.39192,0.00267441,0.00267441,0.00267441
21,8709.89,0.98838,0.99232,1.41889,0.75404,0.75506,0.8107,0.5941,0.98659,0.94283,1.37415,0.0024378,0.0024378,0.0024378
22,9185.73,0.95624,0.93675,1.39518,0.76134,0.78533,0.81713,0.59902,0.97814,0.90616,1.35008,0.00220119,0.00220119,0.00220119
23,9601.23,0.9295,0.89953,1.37307,0.79333,0.7708,0.82268,0.6072,0.94565,0.8937,1.33001,0.00196458,0.00196458,0.00196458
24,10003.3,0.90669,0.86418,1.35441,0.80545,0.79717,0.84035,0.62632,0.94622,0.83508,1.32807,0.00172797,0.00172797,0.00172797
25,10405.7,0.8915,0.82478,1.33411,0.82376,0.78636,0.84555,0.63362,0.92729,0.81656,1.31049,0.00149136,0.00149136,0.00149136
26,10785.9,0.86963,0.80846,1.31667,0.81019,0.81249,0.85287,0.64457,0.90613,0.7951,1.29125,0.00125475,0.00125475,0.00125475
27,11211.4,0.85306,0.77446,1.29911,0.8033,0.81961,0.85859,0.64742,0.90154,0.7897,1.28368,0.00101814,0.00101814,0.00101814
28,11723.6,0.83787,0.75781,1.28941,0.84622,0.81668,0.87176,0.65775,0.88974,0.75149,1.27067,0.00078153,0.00078153,0.00078153
29,12235.3,0.81885,0.73351,1.27412,0.82828,0.82463,0.87721,0.66579,0.87416,0.7363,1.25486,0.00054492,0.00054492,0.00054492
30,12632.6,0.80754,0.71123,1.26554,0.82976,0.82731,0.8755,0.67076,0.87018,0.72573,1.2519,0.00030831,0.00030831,0.00030831
