epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,216.172,1.11003,2.66683,1.45997,0.64839,0.64837,0.6533,0.42763,1.16443,2.38192,1.55048,0.00333054,0.00333054,0.00333054
2,422.832,1.13082,1.82176,1.44834,0.71374,0.64525,0.70301,0.44093,1.26668,1.90559,1.63529,0.00666133,0.00666133,0.00666133
3,624.166,1.19309,1.64174,1.48848,0.65854,0.64316,0.67028,0.4199,1.2389,1.64277,1.62604,0.00998196,0.00998196,0.00998196
4,823.256,1.21643,1.50072,1.50619,0.70122,0.68378,0.7313,0.47384,1.21587,1.33944,1.58895,0.00996569,0.00996569,0.00996569
5,1021.65,1.15982,1.36562,1.46522,0.65029,0.71065,0.74494,0.49502,1.19879,1.21681,1.59607,0.00993906,0.00993906,0.00993906
6,1222.31,1.11806,1.26342,1.43167,0.66205,0.72294,0.7446,0.49426,1.18166,1.20344,1.56994,0.00990489,0.00990489,0.00990489
7,1424.1,1.09582,1.20308,1.41708,0.75998,0.724,0.78769,0.53954,1.09657,1.05488,1.47866,0.00986323,0.00986323,0.00986323
8,1623.5,1.05931,1.14457,1.3868,0.76749,0.75594,0.81576,0.57539,1.06292,1.00106,1.4386,0.00981415,0.00981415,0.00981415
9,1819.87,1.05111,1.1244,1.37599,0.74886,0.76837,0.80868,0.56747,1.0624,0.96966,1.44656,0.00975773,0.00975773,0.00975773
10,2018.45,1.0166,1.07981,1.35942,0.74759,0.77811,0.82212,0.57917,1.04819,0.99715,1.42927,0.00969405,0.00969405,0.00969405
11,2219.02,1.00937,1.05762,1.35415,0.78801,0.77921,0.83022,0.59212,1.02875,0.92303,1.40447,0.0096232,0.0096232,0.0096232
12,2426.62,1.00021,1.04004,1.34554,0.78098,0.78708,0.8266,0.59266,1.02898,0.92821,1.40759,0.00954531,0.00954531,0.00954531
13,2628.38,0.988,1.02528,1.33253,0.75697,0.78039,0.82565,0.60024,1.00849,0.90415,1.37716,0.00946048,0.00946048,0.00946048
14,2826.68,0.9697,0.99509,1.31777,0.73607,0.79853,0.84271,0.60241,1.02134,0.89961,1.39226,0.00936886,0.00936886,0.00936886
15,3023.89,0.95525,0.97581,1.31052,0.80876,0.78129,0.84424,0.61676,0.99002,0.86195,1.36292,0.00927057,0.00927057,0.00927057
16,3219.35,0.95357,0.95794,1.30534,0.78242,0.78959,0.83931,0.61705,0.96384,0.85075,1.337,0.00916577,0.00916577,0.00916577
17,3414.08,0.94485,0.94287,1.30435,0.80877,0.78441,0.84653,0.62662,0.96421,0.84397,1.34165,0.00905463,0.00905463,0.00905463
18,3609.73,0.93295,0.92423,1.29233,0.81624,0.81166,0.86876,0.63469,0.9733,0.81419,1.33315,0.00893732,0.00893732,0.00893732
19,3808.02,0.93409,0.92916,1.29187,0.84518,0.81333,0.86784,0.63985,0.95692,0.77985,1.35082,0.00881401,0.00881401,0.00881401
20,4006.06,0.91606,0.90095,1.27911,0.81055,0.81259,0.86881,0.63669,0.96141,0.79603,1.33855,0.0086849,0.0086849,0.0086849
21,4204.1,0.89889,0.88478,1.27382,0.80458,0.83151,0.86694,0.64126,0.94812,0.7857,1.3266,0.00855018,0.00855018,0.00855018
22,4411.22,0.89921,0.88533,1.2689,0.82659,0.82081,0.87095,0.65271,0.92803,0.75297,1.29749,0.00841006,0.00841006,0.00841006
